participant_id,variant,task_id
P0200,A,banner_A_0
P0201,A,banner_A_0
P0202,A,banner_A_2
P0203,B,banner_B_0
P0204,B,banner_B_2
P0205,B,banner_B_1
P0206,A,banner_A_2
P0207,B,banner_B_3
P0208,B,banner_B_0
P0209,B,banner_B_2
P0210,A,banner_A_2
P0211,B,banner_B_1
P0212,A,banner_A_3
P0213,B,banner_B_2
P0214,A,banner_A_1
P0215,A,banner_A_3
P0216,A,banner_A_1
P0217,B,banner_B_2
P0218,B,banner_B_1
P0219,B,banner_B_3
P0220,A,banner_A_0
P0221,A,banner_A_1
P0222,A,banner_A_0
P0223,B,banner_B_2
P0224,A,banner_A_1
P0225,A,banner_A_3
P0226,B,banner_B_2
P0227,B,banner_B_2
P0228,A,banner_A_0
P0229,B,banner_B_0
P0230,B,banner_B_2
P0231,B,banner_B_2
P0232,A,banner_A_1
P0233,A,banner_A_1
P0234,B,banner_B_0
P0235,A,banner_A_3
P0236,B,banner_B_1
P0237,B,banner_B_3
P0238,A,banner_A_1
P0239,A,banner_A_3
P0240,B,banner_B_3
P0241,A,banner_A_1
P0242,B,banner_B_1
P0243,A,banner_A_2
P0244,B,banner_B_0
P0245,A,banner_A_2
P0246,B,banner_B_1
P0247,A,banner_A_1
P0248,B,banner_B_1
P0249,A,banner_A_1
P0250,B,banner_B_0
P0251,B,banner_B_0
P0252,A,banner_A_0
P0253,A,banner_A_3
P0254,B,banner_B_3
P0255,B,banner_B_2
P0256,A,banner_A_0
P0257,B,banner_B_2
P0258,B,banner_B_3
P0259,B,banner_B_3
P0260,A,banner_A_0
P0261,A,banner_A_0
P0262,B,banner_B_3
P0263,A,banner_A_2
P0264,B,banner_B_2
P0265,A,banner_A_3
P0266,B,banner_B_3
P0267,B,banner_B_2
P0268,A,banner_A_0
P0269,A,banner_A_2
P0270,A,banner_A_3
P0271,B,banner_B_2
P0272,A,banner_A_0
P0273,A,banner_A_0
P0274,A,banner_A_1
P0275,B,banner_B_1
P0276,A,banner_A_0
P0277,A,banner_A_0
P0278,A,banner_A_3
P0279,B,banner_B_3
P0280,B,banner_B_0
P0281,A,banner_A_0
P0282,B,banner_B_1
P0283,B,banner_B_1
P0284,B,banner_B_1
P0285,A,banner_A_0
P0286,B,banner_B_3
P0287,A,banner_A_1
P0288,B,banner_B_1
P0289,A,banner_A_2
P0290,B,banner_B_1
P0291,B,banner_B_0
P0292,B,banner_B_3
P0293,B,banner_B_3
P0294,A,banner_A_3
P0295,B,banner_B_0
P0296,B,banner_B_1
P0297,A,banner_A_1
P0298,B,banner_B_3
P0299,B,banner_B_3
P0300,A,banner_A_2
P0301,B,banner_B_2
P0302,A,banner_A_0
P0303,A,banner_A_1
P0304,A,banner_A_1
P0305,A,banner_A_1
P0306,A,banner_A_3
P0307,B,banner_B_2
P0308,B,banner_B_0
P0309,A,banner_A_2
P0310,B,banner_B_1
P0311,A,banner_A_3
P0312,A,banner_A_1
P0313,B,banner_B_1
P0314,B,banner_B_2
P0315,B,banner_B_2
P0316,A,banner_A_3
P0317,A,banner_A_3
P0318,B,banner_B_3
P0319,B,banner_B_3
P0320,B,banner_B_2
P0321,A,banner_A_0
P0322,A,banner_A_3
P0323,B,banner_B_0
P0324,A,banner_A_0
P0325,A,banner_A_3
P0326,A,banner_A_3
P0327,A,banner_A_2
P0328,B,banner_B_1
P0329,B,banner_B_3
P0330,B,banner_B_0
P0331,B,banner_B_2
P0332,B,banner_B_0
P0333,B,banner_B_2
P0334,B,banner_B_2
P0335,A,banner_A_3
P0336,B,banner_B_3
P0337,A,banner_A_1
P0338,A,banner_A_3
P0339,A,banner_A_2
P0340,A,banner_A_3
P0341,B,banner_B_3
P0342,B,banner_B_0
P0343,A,banner_A_3
P0344,B,banner_B_1
P0345,A,banner_A_3
P0346,B,banner_B_1
P0347,A,banner_A_3
P0348,A,banner_A_1
P0349,B,banner_B_0
P0350,A,banner_A_2
P0351,A,banner_A_3
P0352,B,banner_B_3
P0353,B,banner_B_3
P0354,B,banner_B_2
P0355,A,banner_A_3
P0356,B,banner_B_1
P0357,B,banner_B_2
P0358,A,banner_A_0
P0359,B,banner_B_2
P0360,B,banner_B_3
P0361,A,banner_A_1
P0362,A,banner_A_2
P0363,B,banner_B_0
P0364,B,banner_B_0
P0365,A,banner_A_3
P0366,A,banner_A_1
P0367,A,banner_A_0
P0368,B,banner_B_1
P0369,A,banner_A_3
P0370,A,banner_A_0
P0371,B,banner_B_1
P0372,A,banner_A_0
P0373,A,banner_A_3
P0374,A,banner_A_3
P0375,A,banner_A_3
P0376,B,banner_B_0
P0377,A,banner_A_3
P0378,B,banner_B_0
P0379,B,banner_B_2
P0380,A,banner_A_1
P0381,A,banner_A_2
P0382,A,banner_A_2
P0383,A,banner_A_0
P0384,B,banner_B_3
P0385,B,banner_B_2
P0386,A,banner_A_2
P0387,B,banner_B_2
P0388,A,banner_A_2
P0389,A,banner_A_2
P0390,B,banner_B_2
P0391,A,banner_A_1
P0392,A,banner_A_0
P0393,B,banner_B_2
P0394,B,banner_B_0
P0395,B,banner_B_1
P0396,B,banner_B_0
P0397,A,banner_A_1
P0398,A,banner_A_0
P0399,A,banner_A_1
P0400,B,banner_B_3
P0401,A,banner_A_1
P0402,B,banner_B_2
P0403,B,banner_B_0
P0404,A,banner_A_2
P0405,B,banner_B_2
P0406,A,banner_A_0
P0407,A,banner_A_2
P0408,B,banner_B_0
P0409,A,banner_A_3
P0410,B,banner_B_2
P0411,A,banner_A_3
P0412,B,banner_B_1
P0413,A,banner_A_0
P0414,A,banner_A_3
P0415,B,banner_B_3
P0416,B,banner_B_0
P0417,B,banner_B_3
P0418,A,banner_A_2
P0419,B,banner_B_0
P0420,A,banner_A_0
P0421,B,banner_B_2
P0422,A,banner_A_2
P0423,A,banner_A_2
P0424,A,banner_A_1
P0425,A,banner_A_3
P0426,B,banner_B_0
P0427,A,banner_A_0
P0428,B,banner_B_2
P0429,A,banner_A_2
P0430,B,banner_B_1
P0431,A,banner_A_0
P0432,B,banner_B_0
P0433,B,banner_B_0
P0434,B,banner_B_2
P0435,B,banner_B_2
P0436,A,banner_A_2
P0437,B,banner_B_3
P0438,A,banner_A_0
P0439,A,banner_A_1
P0440,A,banner_A_1
P0441,A,banner_A_3
P0442,A,banner_A_0
P0443,A,banner_A_3
P0444,A,banner_A_2
P0445,B,banner_B_1
P0446,B,banner_B_3
P0447,A,banner_A_2
P0448,A,banner_A_2
P0449,B,banner_B_1
P0450,B,banner_B_0
P0451,B,banner_B_2
P0452,B,banner_B_2
P0453,A,banner_A_0
P0454,B,banner_B_1
P0455,A,banner_A_3
P0456,A,banner_A_1
P0457,A,banner_A_0
P0458,A,banner_A_1
P0459,A,banner_A_3
P0460,A,banner_A_0
P0461,A,banner_A_1
P0462,A,banner_A_3
P0463,B,banner_B_2
P0464,A,banner_A_0
P0465,A,banner_A_0
P0466,A,banner_A_1
P0467,B,banner_B_3
P0468,B,banner_B_0
P0469,B,banner_B_3
P0470,A,banner_A_2
P0471,A,banner_A_2
P0472,A,banner_A_1
P0473,B,banner_B_2
P0474,A,banner_A_3
P0475,A,banner_A_3
P0476,B,banner_B_1
P0477,A,banner_A_0
P0478,A,banner_A_2
P0479,A,banner_A_3
P0480,A,banner_A_3
P0481,A,banner_A_2
P0482,B,banner_B_1
P0483,B,banner_B_3
P0484,A,banner_A_2
P0485,B,banner_B_0
P0486,A,banner_A_1
P0487,A,banner_A_2
P0488,A,banner_A_0
P0489,A,banner_A_3
P0490,A,banner_A_2
P0491,A,banner_A_0
P0492,B,banner_B_3
P0493,A,banner_A_0
P0494,B,banner_B_0
P0495,B,banner_B_3
P0496,B,banner_B_3
P0497,B,banner_B_3
P0498,A,banner_A_3
P0499,B,banner_B_1
