participant_id,task_id,variant,event_type,mouse_x,mouse_y,timestamp
P0264,banner_B_2,B,click,222.14456470081984,225.66300517033147,22.292443673911016
P0265,banner_A_3,A,click,200.74069745074684,235.98135216034294,29.891658847424424
P0270,banner_A_3,A,click,67.85144499708875,226.51908220750647,29.928378080012102
P0272,banner_A_0,A,click,199.33818806496672,229.3635185024149,25.37744701183343
P0275,banner_B_1,B,click,134.73097176641969,228.07918304300412,20.4870514573483
P0276,banner_A_0,A,click,139.254715355119,228.04757932436206,18.579668006682663
P0277,banner_A_0,A,click,226.05403540466816,231.0031660740071,12.043277863107175
P0279,banner_B_3,B,click,167.002833447232,222.17232816408776,16.431723847105935
P0280,banner_B_0,B,click,219.06151032894033,237.36351500289098,5.299374669516666
P0289,banner_A_2,A,click,173.90232312125698,220.81264046737823,20.870892488214437
P0295,banner_B_0,B,click,179.9428253945824,233.11405101782873,6.5856701586594575
P0296,banner_B_1,B,click,96.41198117399392,213.0226042013905,19.579252210132545
P0301,banner_B_2,B,click,235.69782207885942,213.80743464135628,14.065799137256224
P0309,banner_A_2,A,click,224.99167408350968,218.58054820199035,14.58538353262015
P0315,banner_B_2,B,click,194.69864109074757,225.85689390766595,9.545118116044772
P0323,banner_B_0,B,click,102.43869604249285,230.03545491105143,24.966298945590648
P0327,banner_A_2,A,click,231.33193152691746,224.89404630166328,27.8040714271496
P0330,banner_B_0,B,click,105.47346222279808,230.31257585407306,20.146621287342928
P0331,banner_B_2,B,click,223.36776739933174,231.55024501588315,24.660617823797054
P0333,banner_B_2,B,click,117.38091962928262,217.35370289417372,15.829638105019058
P0336,banner_B_3,B,click,90.37024060508907,239.23581148387208,10.302341441513924
P0342,banner_B_0,B,click,76.0359604806431,212.21802245466296,8.689831892065632
P0346,banner_B_1,B,click,115.67581148227782,222.18737163225734,17.73890006574164
P0348,banner_A_1,A,click,219.6849682929532,210.50601339122127,24.88145667517722
P0354,banner_B_2,B,click,199.73288337623782,219.51939456377235,16.795758357355364
P0355,banner_A_3,A,click,110.00589100304177,223.18666853774755,7.653351800504197
P0360,banner_B_3,B,click,183.67773943793813,212.7069509528591,5.46414113192689
P0367,banner_A_0,A,click,169.799453686718,224.38143655007556,7.246457230363783
P0369,banner_A_3,A,click,154.151300198109,228.3433963777768,22.945428749587713
P0371,banner_B_1,B,click,229.93496140352943,228.31176594723544,21.50738511108365
P0374,banner_A_3,A,click,180.95007850237863,219.9138621576722,23.455642055819542
P0375,banner_A_3,A,click,179.33395890437725,230.59896446594345,17.633154098576764
P0379,banner_B_2,B,click,140.64596787659605,216.07488545961016,26.066990286507664
P0380,banner_A_1,A,click,226.69658621020164,236.4736935030827,26.930803366213357
P0386,banner_A_2,A,click,204.16151258944748,219.18495561859206,25.26578500004396
P0388,banner_A_2,A,click,72.12759251574522,222.2618744981686,17.701320495557727
P0391,banner_A_1,A,click,226.14495957801378,236.30594812752818,16.134426064663494
P0392,banner_A_0,A,click,170.82637676168085,231.28494561471686,28.013507901715837
P0397,banner_A_1,A,click,143.0568875233381,224.42435437170997,27.930712214330025
P0401,banner_A_1,A,click,121.72138009551614,211.52202921527655,13.567366820843972
P0403,banner_B_0,B,click,194.3960790814246,221.74739904407878,5.048321047633626
P0404,banner_A_2,A,click,150.81408234674532,222.92050136822138,20.051061736285366
P0407,banner_A_2,A,click,124.81741316998075,226.45104701046358,12.482732733704692
P0409,banner_A_3,A,click,195.323216315551,212.81212835942787,7.194690116642073
P0412,banner_B_1,B,click,152.5601153733536,239.4835641875037,7.697324141907312
P0413,banner_A_0,A,click,211.35059952778442,236.6374667233371,5.294748699556174
P0416,banner_B_0,B,click,173.52495011282167,223.8300892208478,15.127321649437175
P0424,banner_A_1,A,click,213.1145565553676,230.35163263133188,12.991124051885015
P0425,banner_A_3,A,click,86.65795190596431,219.74418793260614,17.100118112761802
P0426,banner_B_0,B,click,116.36961085641873,229.62938293791305,9.656169820192869
P0435,banner_B_2,B,click,131.2521006835967,219.05977426891533,17.441921623268726
P0439,banner_A_1,A,click,180.97286710856523,232.3984048631034,27.635138089984032
P0446,banner_B_3,B,click,70.80461788585896,212.10272080436621,20.858847561852045
P0449,banner_B_1,B,click,68.7948177088747,227.5127788491877,7.694859690312784
P0458,banner_A_1,A,click,140.18203478246429,217.73881886283667,21.38163725262201
P0459,banner_A_3,A,click,159.3035324565513,229.70517358887523,6.2556552276437785
P0460,banner_A_0,A,click,224.30706481906435,237.897004208938,11.89857961866251
P0461,banner_A_1,A,click,229.4377422284251,223.31454458915042,8.390490902242577
P0464,banner_A_0,A,click,157.4851436411456,216.33605124657936,22.10232357328017
P0467,banner_B_3,B,click,128.60006588548333,224.21232942952645,12.24826460064004
P0473,banner_B_2,B,click,95.17403371237187,224.08955830933579,29.834191072188574
P0474,banner_A_3,A,click,143.3628015179356,237.28169165589247,23.723827027491946
P0476,banner_B_1,B,click,103.96832109255368,234.76844506952148,19.281081360241103
P0480,banner_A_3,A,click,154.27646958812764,237.18266126359828,7.187552256057193
P0489,banner_A_3,A,click,168.24604873953902,219.45762409518855,22.763033218241418
P0490,banner_A_2,A,click,148.47297860625312,211.04263970322597,22.839848002054858
P0495,banner_B_3,B,click,195.9268764902596,219.08905022245807,22.113127174214256
P0499,banner_B_1,B,click,219.3246009772744,224.99002674817876,9.06146166190237
